customerID,churn_probability
5178-LMXOP,0.8406973650089069
7216-EWTRS,0.8401866821159149
7024-OHCCK,0.8376640580372252
9497-QCMMS,0.8356408339926318
9300-AGZNL,0.8349695034754513
5567-WSELE,0.8335781445352312
1374-DMZUI,0.831787654744211
4424-TKOPW,0.8316146903106013
2720-WGKHP,0.8307632816133451
8098-LLAZX,0.8288160618153355
5150-ITWWB,0.8278903190394525
8149-RSOUN,0.8195563193244924
4910-GMJOT,0.8183504262739418
1069-XAIEM,0.8175452470212344
3049-SOLAY,0.8174041922534598
2545-EBUPK,0.8152676002951212
7851-WZEKY,0.8135332228469332
3158-MOERK,0.811105634692351
6861-XWTWQ,0.8108281923478441
0295-PPHDO,0.8091645983738545
4695-WJZUE,0.8083165872877086
8884-ADFVN,0.8077841074139788
1415-YFWLT,0.807477268900977
9057-SIHCH,0.8067299231110303
4750-ZRXIU,0.8049700140381112
2012-NWRPA,0.8047381362513633
3988-RQIXO,0.804083124557361
0196-VULGZ,0.8016091427619655
5192-EBGOV,0.8014433964080879
4826-XTSOH,0.8012669718483076
8972-HJWNV,0.8003611602219407
5419-JPRRN,0.7999732206786723
1273-MTETI,0.7990763936543182
4822-RVYBB,0.7982537234346103
6630-UJZMY,0.7980501560236655
5277-ZLOOR,0.7975251006824323
1400-MMYXY,0.7965506473153365
0781-LKXBR,0.7940758347404988
6023-YEBUP,0.7936016337183928
9681-OXGVC,0.7933565590216898
3793-MMFUH,0.7925410733982429
9282-IZGQK,0.792390687423016
2446-BEGGB,0.792369633986244
2660-EMUBI,0.792269829479489
5383-MMTWC,0.790685289320076
9061-TIHDA,0.7898972283757076
3068-OMWZA,0.7886691208444332
6496-SLWHQ,0.7873559353892255
6521-YYTYI,0.7872403027018765
8161-QYMTT,0.7861020021429245
0723-DRCLG,0.7860887004760281
1143-NMNQJ,0.7859250506135841
2982-VPSGI,0.785017612087482
7668-XCFYV,0.7847798584442428
4847-TAJYI,0.7847793972695533
7943-RQCHR,0.7840068630998186
4626-GYCZP,0.7833293270816719
9305-CDSKC,0.781899375050192
7450-NWRTR,0.7817851359305577
0021-IKXGC,0.7812391913051849
2865-TCHJW,0.7810077864532949
9134-CEQMF,0.7808679856807622
8603-IJWDN,0.7808528358583573
1724-BQUHA,0.7807741218381364
3489-HHPFY,0.7799095268556051
6513-EECDB,0.779002947401859
2725-KXXWT,0.7789768729844972
6350-XFYGW,0.7786822758672112
8058-JMEQO,0.7786267989763677
0187-QSXOE,0.7782473012908981
8775-LHDJH,0.7778370307641628
4102-OQUPX,0.777411988357459
1833-VGRUM,0.7773222809325213
4713-LZDRV,0.7767558722785343
4912-PIGUY,0.7766620302302019
0107-YHINA,0.7764376876005821
6474-FVJLC,0.7763499357951811
1455-UGQVH,0.7762690158450477
8245-UMPYT,0.7760565611290009
4115-NZRKS,0.7759183573978083
8414-MYSHR,0.7757132225787028
0897-FEGMU,0.774533186227663
3319-DWOEP,0.7744293509239469
3389-YGYAI,0.7741733486067471
3722-WPXTK,0.7741073130467218
5565-FILXA,0.7738924619805292
2656-TABEH,0.7738104420548723
1075-BGWOH,0.7734342101078095
2034-GDRCN,0.7734177280957863
8593-WHYHV,0.7730303122667942
2968-SSGAA,0.7728616406419363
1455-ESIQH,0.7726819328162698
3320-VEOYC,0.77242594788627
7577-SWIFR,0.7723960962440592
9965-YOKZB,0.7722465533859115
5935-FCCNB,0.7719514551190986
0970-ETWGE,0.7718236628978185
6230-BSUXY,0.7715374481034556
3027-ZTDHO,0.7711545432946353
0564-JJHGS,0.7705909829849469
7274-RTAPZ,0.7699082353094396
7779-LGOVN,0.7698625190002678
4145-UQXUQ,0.7694852413480917
8473-VUVJN,0.7693582889000103
9611-CTWIH,0.7691571331022219
7225-CBZPL,0.7689584086991973
8382-SHQEH,0.7689460829997883
3452-GWUIN,0.7681430965582765
3551-HUAZH,0.7679119266895025
8337-UPOAQ,0.7677948560200797
2642-DTVCO,0.7676202866556776
5240-IJOQT,0.7673316126960035
0697-ZMSWS,0.766277850359526
4078-SAYYN,0.7662665206176068
0916-QOFDP,0.7662254396758004
4988-IQIGL,0.7660708004844919
6894-LFHLY,0.7652925607140212
6567-HOOPW,0.7642085465987786
1304-NECVQ,0.7639503159920188
9248-OJYKK,0.7639263269400914
5519-NPHVG,0.763760092145023
2265-CYWIV,0.7632177952678478
1564-NTYXF,0.7628111310052004
3902-FOIGH,0.7621707962614557
7398-SKNQZ,0.7621420253556365
3643-AHCFP,0.761872010241947
3621-CEOVK,0.7615750379643795
4587-VVTOX,0.760604855511396
0259-GBZSH,0.7605492255009091
5956-VKDTT,0.7604812176527044
2205-YMZZJ,0.7601809822785967
9546-CQJSU,0.7600945435184807
1624-NALOJ,0.7596836504493341
4927-WWOOZ,0.759301954390059
4086-YQSNZ,0.7590093073858283
0722-TROQR,0.7589872453386706
7228-OMTPN,0.7586864503545757
1197-BVMVG,0.7584443911228513
4952-YSOGZ,0.7581229358272519
1658-BYGOY,0.7577509925597112
2737-WFVYW,0.7573835406963045
2235-DWLJU,0.7571850700432539
8992-JQYUN,0.7570279336227789
6108-OQZDQ,0.7570265113785399
7488-MXJIV,0.7570105150451704
1626-ERCMM,0.7569068245053929
2990-HWIML,0.7563416164832023
3318-NMQXL,0.7561076360734739
7526-BEZQB,0.7560610492673908
0754-UKWQP,0.7559931526933508
4548-SDBKE,0.7558897624749286
8739-XNIKG,0.7556571353099455
8580-AECUZ,0.7550213292463698
1875-QIVME,0.7549548903343223
8931-GJJIQ,0.7542594992400002
4192-GORJT,0.7541296652262255
6969-MVBAI,0.753954048817488
4273-MBHYA,0.7526270624756796
7576-OYWBN,0.7525924194334136
9221-OTIVJ,0.7519946594616503
1941-HOSAM,0.7516117349470328
0495-RVCBF,0.7515575032939961
